US Presidents	Term Begins	Term Ends
McKinley	1900	1901
Roosevelt, T.	1901	1909
Taft	1909	1913
Wilson	1913	1921
Harding	1921	1923
Coolidge	1923	1929
Hoover	1929	1933
Roosevelt, F.D.	1933	1945
Truman	1945	1953
Eisenhower	1953	1961
Kennedy	1961	1963
Johnson	1963	1969
Nixon	1969	1974
Ford	1974	1977
Carter	1977	1981
Reagan	1981	1989
Bush, G.H.	1989	1993
Clinton	1993	2001
Bush, G.W.	2001	2008

US Wars	Before US Entry	US Participation	Conflict Ends
Span.-Am. War	1900	1900	1902
World War I	1914	1917	1918
World War II	1939	1941	1945
Korean War	1950	1950	1953
Vietnam War	1954	1964	1975
Persian Gulf	1990	1990	1991
Afghanistan	2001	2001	2008
Iraq War	2003	2003	2008

Party Control, US House of Reps	Start Control	End Control
Republican	1900	1911
Democrat	1911	1917
Republican	1917	1933
Democrat	1933	1947
Republican	1947	1949
Democrat	1949	1953
Republican	1953	1955
Democrat	1955	1995
Republican	1995	2007
Democrat	2007	2008

Party Control, US Senate	Start Control	End Control
Republican	1900	1913
Democrat	1913	1919
Republican	1919	1933
Democrat	1933	1947
Republican	1947	1949
Democrat	1949	1953
Republican	1953	1955
Democrat	1955	1981
Republican	1981	1987
Democrat	1987	1995
Republican	1995	2007
Democrat	2007	2008

Computer Generation	Start Generation	End Generation
Pre-First Generation	1900	1940
1st: Vacuum Tubes	1940	1960
2nd: Transistors	1960	1964
3rd: Integrated Circuits	1964	1975
4th: Microprocessors	1975	2008

Decades	Start Decade	End Decade
1900's	1900	1910
1910's	1910	1920
1920's	1920	1930
1930's	1930	1940
1940's	1940	1950
1950's	1950	1960
1960's	1960	1970
1970's	1970	1980
1980's	1980	1990
1990's	1990	2000
2000's	2000	2008
